polcod,polvar,polval,wh_id_tmpl,srtseq,rtstr1,rtstr2,rtnum1,rtnum2,rtft1,rtflt2,moddte,mod_usr_id,grp_nam
DSS-ARITZIA,PICK-MOVE-DROP,DO-NOT-ALLOW-LPN-MIX,----,1,<Movement Zone Code Goes here>,,0,0,0,0,,SMISRA,usr_atz_207
DSS-ARITZIA,PICK-MOVE-DROP,DO-NOT-ALLOW-LPN-MIX,DC03,1,MOVPASS-DROP,,0,0,0,0,,SMISRA,usr_atz_207
DSS-ARITZIA,DISTRO,ENABLE-HOST-DISTRO-FLG,----,1,,,0,0,0,0,,SMISRA,usr_atz_175
DSS-ARITZIA,DISTRO,ENABLE-HOST-DISTRO-FLG,DC03,1,,,1,0,0,0,,SMISRA,usr_atz_175
DSS-ARITZIA,DISTRO,INVTYP,----,1,,,0,0,0,0,,SMISRA,usr_atz_175
DSS-ARITZIA,DISTRO,INVTYP,DC03,1,VND,,0,0,0,0,,SMISRA,usr_atz_175
DSS-ARITZIA,DISTRO,INVTYP,DC03,2,POP,,0,0,0,0,,SMISRA,usr_atz_175
DSS-ARITZIA,DISTRO,INVTYP,DC03,3,POB,,0,0,0,0,,SMISRA,usr_atz_175
